Study,Sample size of controls,Sample size of PTSD,Analysis,Finding in original study,Marginal probability,Qualitative assessment of the model’s ability to recreate each finding,Overall assessment of the model’s success
pohlechen2020,35,21,Recall ANOVA Group Main Effect,NS,0.14,Failure to Recreate,successful recreation
pohlechen2020,35,21,Recall ANOVA Group x Cue Type Interaction,NS,0.126,Failure to Recreate,successful recreation
shvil2014,25,31,Recall ANOVA Group Main Effect,NS,0.954,Successful Recreation,successful recreation
shvil2014,25,31,Recall ANOVA Cue Type Main Effect,NS,0.012,Failure to Recreate,successful recreation
shvil2014,25,31,Recall ANOVA Group x Cue Type Interaction,NS,0.904,Successful Recreation,successful recreation
garfinkel2014,14,14,Recall ANOVA Group x Cue Type Interaction,S,0.089,Failure to Recreate,successful recreation
garfinkel2014,14,14,Renewal ANOVA Group x Cue Type Interaction,S,0.053,Failure to Recreate,successful recreation
garfinkel2014,14,14,PTSD t Test Between Stimuli in Recall,S,0.044,Failure to Recreate,successful recreation
garfinkel2014,14,14,Control t Test Between Stimuli in Renewal,S,0.037,Failure to Recreate,successful recreation
garfinkel2014,14,14,t Test Between Groups in Renewal,S,0.052,Failure to Recreate,successful recreation
garfinkel2014,14,14,Control t Test Between Stimuli in Recall,NS,0.912,Successful Recreation,successful recreation
garfinkel2014,14,14,PTSD t Test Between Stimuli in Renewal,NS,0.943,Successful Recreation,successful recreation
milad2009,19,20,Recall ANOVA Group x Cue Type Interaction,S,0.074,Failure to Recreate,partial success
pineles2016,16,16,Group Effect on Regression for Fear Recall,S,0.001,Failure to Recreate,successful recreation
wicking2016,18,36,Recall ANOVA Group x Cue Type Interaction,S,0.048,Failure to Recreate,successful recreation
wicking2016,18,36,PTSD t Test Between Stimuli in Recall,S,0.985,Successful Recreation,successful recreation
wicking2016,18,36,Control t Test Between Stimuli in Recall,NS,0.125,Failure to Recreate,successful recreation
