Study,Analyses that were recreated,Number of recreations,Number of simulations that had this result
acheson2015_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_trial_number_interaction,4,764
acheson2015_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_trial_number_interaction,3,95
acheson2015_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect,3,48
acheson2015_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_trial_number_interaction,3,31
acheson2015_x,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_trial_number_interaction,3,21
acheson2015_x,acquisition_ANOVA_group_main_effect;acquisition_ANOVA_group_x_cue_type_interaction,2,17
acheson2015_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_group_x_trial_number_interaction,2,14
acheson2015_x,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_x_trial_number_interaction,2,5
acheson2015_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_x_trial_number_interaction,2,2
acheson2015_x,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect,2,2
acheson2015_x,acquisition_ANOVA_group_main_effect;extinction_ANOVA_group_main_effect,2,1
blechert2007_x,extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;CS_minus_group_difference,3,601
blechert2007_x,extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference;CS_minus_group_difference,3,85
blechert2007_x,extinction_ANOVA_group_x_cue_type_interaction;CS_minus_group_difference,2,62
blechert2007_x,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference;extinction_ANOVA_group_x_cue_type_interaction;CS_minus_group_difference,5,56
blechert2007_x,extinction_ANOVA_cue_type_main_effect;CS_minus_group_difference,2,42
