Study,Analyses that were recreated,Number of recreations,Number of simulations that had this result
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test;extinction_block_2_t_test,3,699
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_2_t_test,2,83
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_4_t_test;extinction_block_1_t_test;extinction_block_2_t_test,4,59
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_1_t_test;extinction_block_2_t_test,4,49
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test;extinction_block_2_t_test,4,17
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test,2,14
acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition,2,13
acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_2_t_test,3,11
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_1_t_test,3,8
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_4_t_test;extinction_block_1_t_test;extinction_block_2_t_test,5,7
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_2_t_test,4,6
acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test;extinction_block_2_t_test,4,4
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_2_t_test,3,3
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_1_t_test,4,3
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_4_t_test;extinction_block_1_t_test,4,3
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_4_t_test;extinction_block_2_t_test,3,3
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test,3,2
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_4_t_test;extinction_block_1_t_test;extinction_block_2_t_test,6,2
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_4_t_test;extinction_block_1_t_test;extinction_block_2_t_test,5,2
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition,3,2
