Name,Pass_pattern,n_passes,Count
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test;extinction_block_2_t_test,3,763
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_1_t_test;extinction_block_2_t_test,4,39
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_4_t_test;extinction_block_1_t_test;extinction_block_2_t_test,4,35
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test,2,32
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test;extinction_block_2_t_test,4,31
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_2_t_test,2,30
acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_2_t_test,3,12
acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test;extinction_block_2_t_test,4,9
acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test,3,8
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_4_t_test;extinction_block_1_t_test;extinction_block_2_t_test,5,6
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_2_t_test,3,4
acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_1_t_test;extinction_block_2_t_test,5,4
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_2_t_test,3,3
acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition,2,3
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test,3,2
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_1_t_test;extinction_block_2_t_test,5,2
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition,1,2
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_4_t_test;extinction_block_1_t_test,3,2
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition,3,1
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test,4,1
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test;extinction_block_2_t_test,5,1
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_4_t_test;extinction_block_2_t_test,6,1
acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_4_t_test;extinction_block_1_t_test,5,1
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_1_t_test,3,1
acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_4_t_test;extinction_block_2_t_test,3,1
acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_1_t_test,4,1
acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_4_t_test;extinction_block_1_t_test,5,1
acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_4_t_test;extinction_block_2_t_test,5,1
acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_4_t_test;extinction_block_1_t_test,4,1
acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_4_t_test;extinction_block_1_t_test;extinction_block_2_t_test,5,1
acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_4_t_test;extinction_block_2_t_test,4,1
blechert2007,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;CS_plus_group_difference;CS_minus_group_difference,5,484
blechert2007,extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;CS_plus_group_difference;CS_minus_group_difference,4,197
blechert2007,extinction_ANOVA_cue_type_main_effect;CS_minus_group_difference,2,133
blechert2007,extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;CS_minus_group_difference,3,56
blechert2007,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference;CS_minus_group_difference,4,47
blechert2007,extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;CS_plus_group_difference,3,24
blechert2007,extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction,2,22
blechert2007,extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference;CS_minus_group_difference,3,13
blechert2007,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;extinction_ANOVA_group_x_cue_type_interaction;CS_plus_group_difference,4,8
blechert2007,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;CS_plus_group_difference,3,6
blechert2007,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect;CS_minus_group_difference,3,4
blechert2007,extinction_ANOVA_cue_type_main_effect,1,3
blechert2007,extinction_ANOVA_group_main_effect;extinction_ANOVA_cue_type_main_effect,2,3
burriss2006,extinction_ANOVA_block_main_effect;acquistion_ANOVA_group_x_block_interaction,2,732
burriss2006,extinction_ANOVA_block_main_effect,1,74
burriss2006,acquistion_ANOVA_group_x_block_interaction,1,49
burriss2006,extinction_ANOVA_block_main_effect;acquistion_ANOVA_group_x_block_interaction;extinction_ANOVA_group_x_block_interaction,3,45
burriss2006,extinction_ANOVA_block_main_effect;acquistion_ANOVA_group_x_block_interaction;extinction_ANOVA_cue_type_x_block_interaction,3,35
burriss2006,extinction_ANOVA_block_main_effect;acquistion_ANOVA_group_x_block_interaction;extinction_ANOVA_group_x_block_interaction;extinction_ANOVA_cue_type_x_block_interaction,4,28
burriss2006,extinction_ANOVA_block_main_effect;extinction_ANOVA_cue_type_x_block_interaction,2,18
burriss2006,acquistion_ANOVA_group_x_block_interaction;extinction_ANOVA_group_x_block_interaction,2,6
burriss2006,acquistion_ANOVA_group_x_block_interaction;extinction_ANOVA_cue_type_x_block_interaction,2,4
burriss2006,extinction_ANOVA_block_main_effect;extinction_ANOVA_group_x_block_interaction;extinction_ANOVA_cue_type_x_block_interaction,3,3
burriss2006,extinction_ANOVA_block_main_effect;extinction_ANOVA_group_x_block_interaction,2,2
burriss2006,,NA,1
burriss2006,acquistion_ANOVA_group_x_block_interaction;extinction_ANOVA_group_x_block_interaction;extinction_ANOVA_cue_type_x_block_interaction,3,1
burriss2006,extinction_ANOVA_cue_type_x_block_interaction,1,1
burriss2006,extinction_ANOVA_group_x_block_interaction;extinction_ANOVA_cue_type_x_block_interaction,2,1
