,Name,Pass_pattern,n_passes,Count
1,acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test;extinction_block_2_t_test,3,746
2,acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test,2,42
3,acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test;extinction_block_2_t_test,4,40
4,acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_1_t_test;extinction_block_2_t_test,4,39
5,acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_4_t_test;extinction_block_1_t_test;extinction_block_2_t_test,4,37
6,acheson2015,control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_2_t_test,2,27
7,acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test;extinction_block_2_t_test,4,12
8,acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_3_t_test;extinction_block_1_t_test;extinction_block_2_t_test,5,9
9,acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_2_t_test,3,7
10,acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_1_t_test,3,6
11,acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition,2,5
12,acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_4_t_test;extinction_block_1_t_test;extinction_block_2_t_test,5,4
13,acheson2015,extinction_ANOVA_group_main_effect;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_4_t_test;extinction_block_1_t_test;extinction_block_2_t_test,5,3
14,acheson2015,acquisition_ANOVA_group_x_cue_type_interaction;control_group_t_test_between_cue_type_types_during_acquisition;extinction_block_2_t_test,3,2
